1, LONELY TOGETHER (ALAN WARKER REMIX), AVICII/RITA ORA
1, Feel It Still, Portugal The Man
1, BOOK OF LOVE, FELIX JAEHN/POLINA
1, U + Ur Hand, Pink
1, LOST ON YOU (SWANKY TUNES and GOING DEEPER REMIX), LP
1, Feel Good Inc, Gorillaz
1, Sweet Harmony, Sans Souci feat Pearl Andersson
1, Small Talk, Fake Pictures and Tiger Park
1, Toxic, Britney Spears
1, PAPAOUTAI, STROMAE
1, Whataya Want From Me, Adam Lambert
1, Something Just Like This, The Chainsmokers and Coldplay
1, К черту любовь, Loboda
1, If Everyone Cared, Nickelback
1, What Goes Around…Comes Around, Justin Timberlake
1, Disco Tits, Tove Lo
1, ALONE, Alan Walker
1, Wide Awake, Eric Saade feat Gustav Noren Filatov and Karas
1, Dangerous, David Guetta feat Sam Martin
1, MI GENTE, J_BALVIN/WILLY WILLIAM
1, LET ME LOVE YOU, DJ_SNAKE/JUSTIN BIEBER
1, I Know What You Want, Busta Rhymes and Mariah Carey
1, PI_ROULETTE, KATY PERRY
1, Be Mine, Ofenbach
1, CLINT EASTWOOD, GORILLAZ (mix)
1, JAI CHERCHE, AMIR
1, All The Right Moves, OneRepublic
1, I HATE YOU I LOVE YOU, GNASH
1, Cheap Thrills (feat Sean Paul), Sia
1, Single Lady, Dj Layla and Alissa
1, Case Depart, Team BS
1, Bonbon, Era Istrefi
1, Let Go, Paul Van Dyk
1, LIGHT IT UP (REMIX), MAJOR_LAZER/FUSE_ODG
1, Rather Be, Clean Bandit
1, Gangstas Paradise, Coolio
1, Song 2, Blur
1, Breathe, Seeb
1, GET LUCKY, DAFT_PUNK
1, WE DONT TALK ANYMORE, CHARLIE PUTH/SELENA GOMES
1, SAD STORY+ID, MERK_and_KREMONT
1, Adventure Of A Lifetime, Coldplay
1, Freaky Like Me, Madcon
1, La Louze, SHANGUY
1, SWISH SWISH, KATY PERRY/NICKI MINAJ
1, Papaoutai, Stromae
1, Rolling In The Deep, Adele
1, Hot Right Now, Dj Fresh and Rita Ora
1, PI_DONT LET ME DOWN, The Chainsmokers
1, Stole The Show feat Parson James, Kygo
Europa Plus, I Like It, Narcotic Thrust, [object Object]
Europa Plus, OHLALA, MRDA-NOS, [object Object]
Europa Plus, WAKE ME UP, AVICII, [object Object]
Europa Plus, GET LUCKY, DAFT_PUNK, [object Object]
Europa Plus, TEDDY BEAR (ASTERO REMIX), KADEBOSTANY, [object Object]
Europa Plus, PI_DUSK TILL DAWN, ZAYN/SIA, [object Object]
Europa Plus, SUNSHINE, CAT_DEALERS, [object Object]
Europa Plus, We Own It, 2 Chainz and Wiz Khalifa, [object Object]
Europa Plus, Unstoppable, Sia, [object Object]
Europa Plus, NO ROOTS, ALICE MERTON, [object Object]
Europa Plus, PI_ROULETTE, KATY PERRY, [object Object]
Europa Plus, U + Ur Hand, Pink, [object Object]
Europa Plus, Little Mix - Is Your Love Enough, Little Mix, [object Object]
Europa Plus, PI_BONBON, ERA ISTREFI, [object Object]
Europa Plus, SAD STORY+ID, MERK_and_KREMONT, [object Object]
Europa Plus, WALK, KWABS, [object Object]
Europa Plus, Attention, Charlie Puth, [object Object]
Europa Plus, You Dont Know Me ft RAYE, Jax Jones, [object Object]
Europa Plus, Heaven, Timofey Bartosz Brenes and Terri B!, [object Object]
Europa Plus, COLA (ROBIN SCHULZ REMIX), CAMELPHAT_and_ELDERBROOK, [object Object]
Europa Plus, You Spin Me Round, Danzel, [object Object]
Europa Plus, Dangerous, David Guetta feat Sam Martin, [object Object]
Europa Plus, DONT LET ME GO (REMIX), KANITA, [object Object]
Europa Plus, BEST FRIEND, SOFI TUKKER/NERVO, [object Object]
Europa Plus, Airplanes, BoB and Hayley Williams, [object Object]
Europa Plus, Fight Back With Love Tonight, Kush Kush, [object Object]
Europa Plus, Sad Story (Out Of Luck), Merk and Kremont, [object Object]
Europa Plus, I Follow Rivers, Lykke Li, [object Object]
Europa Plus, If Today Was Your Last Day, Nickelback, [object Object]
Europa Plus, rockstar, Post Malone feat 21 Savage, [object Object]
Europa Plus, Dusk Till Dawn ft Sia, ZAYN, [object Object]
Europa Plus, PI_WAY DOWN WE GO, KALEO, [object Object]
